Given Name,Last Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Bryce,Harper,PHI,157,682,35,98,114,15,14.50%,26.10%,0.25,0.313,0.26,0.372,0.51,0.365,0.383,124,-0.6,21.2,3,4.5,11579
Max,Kepler,MIN,134,596,36,98,90,1,10.10%,16.60%,0.267,0.244,0.252,0.336,0.519,0.355,0.339,122,-1.8,14.9,10,4.5,12144
Javier,Baez,CHC,138,561,29,89,85,11,5.00%,27.80%,0.25,0.345,0.281,0.316,0.531,0.347,0.327,112,1.2,10.4,15.7,4.3,12979
Nelson,Cruz,MIN,120,521,41,81,108,0,10.70%,25.10%,0.328,0.351,0.311,0.392,0.639,0.417,0.412,164,-4.5,38.1,-12.3,4.3,2434
Eugenio,Suarez,CIN,159,662,49,87,103,3,10.60%,28.50%,0.301,0.312,0.271,0.358,0.572,0.381,0.349,130,-6.2,20.4,1.9,4.3,12552
Paul,DeJong,STL,159,664,30,97,78,9,9.30%,22.40%,0.211,0.259,0.233,0.318,0.444,0.322,0.324,101,2.3,3,18.5,4.2,18015
Austin,Meadows,TBR,138,591,33,83,89,12,9.10%,22.20%,0.268,0.331,0.291,0.364,0.558,0.38,0.373,144,-1,32.2,-10.3,4.2,15672
Jorge,Polanco,MIN,153,704,22,107,79,4,8.50%,16.50%,0.19,0.328,0.295,0.356,0.485,0.352,0.335,120,3.1,21.2,-3.9,4.1,13152
Michael,Brantley,HOU,148,637,22,88,90,3,8.00%,10.40%,0.191,0.32,0.311,0.372,0.503,0.367,0.348,132,0,26.3,-6.8,4.1,4106
Jonathan,Villar,BAL,162,714,24,111,73,40,8.50%,24.60%,0.179,0.341,0.274,0.339,0.453,0.335,0.309,107,10.5,16.8,-1.4,3.9,10071
Freddie,Freeman,ATL,158,692,38,113,121,6,12.60%,18.40%,0.255,0.318,0.295,0.389,0.549,0.387,0.392,137,-0.1,34,-16.2,3.9,5361
